id,project_id,type,value,effort,risk,stakeholder_priority,priority_score,rank,cleaned_requirement_text,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,w2v_25,w2v_26,w2v_27,w2v_28,w2v_29,w2v_30,w2v_31,w2v_32,w2v_33,w2v_34,w2v_35,w2v_36,w2v_37,w2v_38,w2v_39,w2v_40,w2v_41,w2v_42,w2v_43,w2v_44,w2v_45,w2v_46,w2v_47,w2v_48,w2v_49,w2v_50,w2v_51,w2v_52,w2v_53,w2v_54,w2v_55,w2v_56,w2v_57,w2v_58,w2v_59,w2v_60,w2v_61,w2v_62,w2v_63,w2v_64,w2v_65,w2v_66,w2v_67,w2v_68,w2v_69,w2v_70,w2v_71,w2v_72,w2v_73,w2v_74,w2v_75,w2v_76,w2v_77,w2v_78,w2v_79,w2v_80,w2v_81,w2v_82,w2v_83,w2v_84,w2v_85,w2v_86,w2v_87,w2v_88,w2v_89,w2v_90,w2v_91,w2v_92,w2v_93,w2v_94,w2v_95,w2v_96,w2v_97,w2v_98,w2v_99
REQ-01,P1,FR,-0.8484391579862354,-1.0153926904923225,-1.3937965125280667,-0.8400996077422255,1.3,18,head admin finance edit delete spare part category,-0.000559904,0.0021044128,-0.0003515607,5.5447483e-05,0.001078451,-0.0016546919,0.0032392244,0.0076235174,-0.0029163393,-0.0037483727,0.00124699,-0.0016337032,-0.00020496361,0.0028703713,-0.00022203082,-3.193633e-05,0.0028090342,-0.0024538662,0.00057294464,-0.002585001,-0.0027776756,0.0011001904,0.0030619656,0.0009544735,0.0012904811,-0.0015544486,0.0023510728,-0.004664455,0.0007707224,0.0032433332,0.0029868232,0.0005496986,0.0015653266,-0.0022432734,0.0004356143,0.00016302195,-0.0012770158,9.184936e-05,0.0004443652,-0.0063470765,0.0018937464,-0.0022559604,-0.0018540809,0.0036305278,0.0005470873,-0.0015616094,-0.0014762005,-0.0016333942,8.8860776e-05,0.0010559122,0.00047462143,0.002100146,-0.0030613288,-0.00017146618,-0.00033251196,0.0028662598,0.00079803925,-0.005100422,-0.004039995,0.0039923135,0.0011810302,0.0017358304,-0.00074436254,-3.8044054e-06,-0.0023368802,-0.0016333563,0.0010165266,0.002069673,-0.003143091,-0.0022633942,0.0016583228,0.0012151266,0.0012989263,0.0025629748,0.00056507776,-0.00026902067,0.0011565969,-0.001087258,-0.0027242557,0.003683358,0.0033980352,-0.0019767252,0.00015561114,0.0031490587,0.001261914,6.357441e-05,0.000803048,0.0042877253,0.00579614,0.0041028834,0.002003459,0.0011579192,0.001832908,0.00021154716,0.001035733,0.004644699,-0.0024467711,-0.0032895973,0.0034819066,-0.0008041323
REQ-02,P1,FR,-0.8484391579862354,-1.0153926904923225,-1.3937965125280667,-0.8400996077422255,1.3,18,head admin finance edit delete car master,0.0016237481,0.001151313,-0.003294618,5.166871e-05,0.0008847668,-0.0018681915,0.0009612324,0.0039677205,0.0012119544,8.145347e-05,-0.0004019683,-0.0023825984,0.00378678,-0.001931907,-0.003034746,0.0009258407,0.0013426056,0.0016782887,0.0007647639,-0.005305336,-0.0025407183,-0.00021867066,-0.00030941033,-0.0021536315,0.00025183824,-0.0026125046,0.0014334535,-0.0012660492,0.002299662,0.0013315007,7.731487e-05,-0.0010858752,0.0044246153,-0.001249837,0.00084946625,-0.0014702005,0.0006084268,0.0018226495,-0.002219574,-0.0077273063,0.0029622614,0.0017661394,-0.002738469,0.0044418043,0.00079792924,0.0011644165,-0.003823589,-0.0023263358,0.0035834308,0.0010435547,0.003608976,0.0028868325,-0.0011115352,0.00013958976,-0.0010949915,0.0050980533,0.0012592921,-0.0020999655,-0.0024430554,0.0048711337,0.002432369,0.0038670725,-0.0038980916,0.0009379225,-0.001149628,-0.00092788506,-7.117745e-05,0.00020603999,-0.004345079,-0.0032133902,-0.0014543635,0.00029099084,0.0019786337,0.0001844058,-0.00033741558,0.00075745024,0.0008150682,0.00080315955,-0.003181142,0.0030247534,0.0025274176,-0.00024339587,-0.0031538755,0.0023209448,-0.00058322406,-0.0025053422,-4.019831e-05,0.002025323,0.0026998122,0.0008915659,0.0039230282,0.00013662435,0.00016315108,-0.0010676578,0.0036388678,0.0025788972,0.0014190758,-0.0016059658,0.0021032442,0.002962618
REQ-03,P1,FR,-0.8484391579862354,-1.0153926904923225,-1.3937965125280667,-0.8400996077422255,1.3,18,head admin finance edit delete engine master,-0.00016256422,0.00068349985,-0.001918301,-0.0008407372,0.0017899979,-0.0009705741,3.241445e-05,0.0039925487,0.0011388423,-0.0007736389,0.00053988246,-0.00037705354,0.0034473527,-0.0017113691,-0.0028326751,-0.0016039457,-0.0004998602,-0.0007228037,9.7857126e-05,-0.0032696158,-0.0011983309,0.0016533535,0.0007148507,-0.002488991,0.001579352,-0.00048348354,0.0010641067,-0.0025981858,0.00075725146,0.0016245674,0.0019136071,-0.00041261935,0.0024225644,0.0003927674,-0.00033579633,-0.0011560275,0.0016269396,0.0011311764,-0.0021178187,-0.0073792255,0.0016123232,0.0016672956,-0.0018844878,0.0059854514,0.00067618716,-0.0009863721,-0.003938022,-0.0020310315,0.0030157596,0.0028863072,0.003004445,0.00075063563,-0.0018044484,-2.5712352e-05,-0.000506919,0.004122246,0.0012791604,-0.0024259058,-0.003654351,0.0035636357,0.0033246966,0.0019290075,-0.0014991715,-0.0005774746,-0.000993476,0.0014456625,-0.0010669148,-0.00076758314,-0.003009047,-0.0021554665,-0.0009792021,0.0010788544,0.0029964522,0.0015750354,-0.0018854405,0.0012878303,0.0010191649,-0.0012098361,-0.002522679,0.0039102817,0.001753683,-0.0013411341,-0.00076876493,0.0010108302,-0.0007072716,-0.002527835,0.0007867129,0.0032817933,0.004625558,0.0015403505,0.0037698231,0.0005644566,-0.00079924345,-0.00030666203,0.0015375862,0.0017328935,-0.00052285055,-0.0007076535,0.0016400665,0.0027345691
REQ-04,P1,FR,1.7376330353517229,0.1658474727804126,-0.5500237755422986,1.7317842791177456,2.0,3,edit delete spare part automatically accumulate old stock item code exist,0.00040728922,0.0021598584,0.0017758765,-0.0015108633,-0.0027075775,-0.004245543,0.0021899743,0.0045466404,-0.0023965465,-0.0015704859,-0.00017762682,-0.004165067,-0.000434463,0.00315236,0.000412924,-0.0027498992,0.0019787094,-0.0013403512,-0.00035894007,-0.0053227576,-0.0008670648,0.00079425867,0.00039204143,-0.00055392727,-0.0017497886,-0.000106637155,-0.0014077584,-0.0054448764,-0.0036536204,0.0011291823,0.004075041,0.00070758857,0.0025920263,-0.0030329006,-0.00014628512,-0.00035684512,0.0011014558,-0.0014473445,0.00177775,-0.0054706107,-0.0010542705,-0.004606023,-0.0002047699,0.00045912873,0.0059554353,-0.003941081,-0.00020700808,-0.00078157877,0.0029441582,0.0007332951,0.001747089,0.00079705345,-0.0015525698,0.001603515,-0.00014336048,0.005027504,6.582711e-05,-0.0023903004,-0.0008363537,0.0040612356,0.003843089,0.00137573,-0.0010943528,0.00019681953,-0.004017247,0.000888625,-0.0010697276,-0.0006764054,-0.004039334,0.0009061445,-0.0006911929,0.0017013923,-0.0013026325,-0.000113451184,0.001982814,0.0007317759,0.0011365846,0.00014501819,-0.0026904598,-0.0023739783,0.0006961645,-0.003524296,-0.000612444,0.003604243,0.0007561956,0.0006946205,0.001530395,0.0032816662,0.0064838678,0.00093288574,0.0030587777,-7.883646e-06,0.0028665478,-8.452599e-05,0.0044150003,0.0020611766,0.002448355,-0.00315777,0.003079755,-0.002400951
REQ-05,P1,FR,0.4445969386827438,-1.0153926904923225,-1.3937965125280667,0.44584233568776,1.6,13,search filter spare part engine type car type facilitate stock search,0.0016460252,0.0034906417,-0.0020976567,0.0021230718,0.00040810442,-0.0014034142,0.0055078026,0.0045511033,0.0007731166,-0.0014160472,0.0012964394,-0.005006742,0.0015743807,0.003937896,-0.0019754833,-0.0016768756,-0.00013907581,-0.0032859317,0.0012647919,-0.0013503659,0.0003941214,0.0018576522,-0.0013621765,0.0017970494,-0.0018167723,-0.0014652405,-0.0017677642,-0.008001252,-0.0043632747,7.273312e-05,0.0024617757,-0.0026302142,0.0010417198,-0.005035309,-0.0014584473,0.004942939,0.00045545129,0.0007296401,-0.00056843774,-0.0089263385,-0.0036929934,-0.0027143795,-0.002541219,-0.0012693204,0.0039501647,-0.004233209,-0.0030784833,0.0016971711,0.0050449064,0.0017061274,0.0006305469,-0.00050862215,-0.0013134431,-0.0045266254,0.0003871822,-0.0006337343,3.828901e-05,-0.0035988062,-0.0027070546,0.0010713906,-0.00080746005,-0.00091989076,-0.0009875052,-0.0010234612,-0.0035499653,-0.000116896816,-0.0010354698,0.003133081,-0.0026126748,7.663559e-05,-0.00049256306,0.0036822387,0.0020858604,0.0008586095,0.0048230416,-0.0015277625,0.00097266416,-0.0015426449,-7.045142e-05,-0.0010494468,-0.00072442234,-0.004618523,0.00034060335,0.0026958035,0.0041558323,-0.0029281946,0.0002867597,0.004569627,0.008104046,0.0029179254,-0.0008063402,-0.00012411109,0.0021779279,-0.0015687854,0.0045059514,0.00324307,0.0005387842,-0.0007493142,0.0030736076,-0.0010638599
REQ-06,P1,FR,1.7376330353517229,1.3470876360531476,1.1375216984292376,1.7317842791177456,1.9,5,automatically update spare part stock database transaction usage occur vehicle service,0.0011072985,-0.0002673623,-0.0017257397,0.0028733178,-0.0032719993,-0.005780134,0.00055537996,0.0050134202,-0.0003682629,-0.0037205731,0.00042554902,-0.00019543736,-0.00035413212,0.0024976607,0.003073083,-0.002064432,0.001210098,-0.005233053,-0.00016226796,-0.0032231284,-0.000830009,0.0011185757,0.0033210674,0.001547487,-0.0010310494,0.0008870856,0.00046845654,-0.003983175,-0.00037965548,0.0027006774,-0.00010175868,-0.0031852417,0.0031798915,-0.002897097,0.0019639095,0.001358052,-0.0024113348,-0.005130606,-0.0033277958,-0.005657343,-0.0023562496,-0.0055476855,-0.0037605579,-0.0022321728,0.0026256575,-0.0035722943,0.0009243319,-0.0009080544,0.0011474038,0.0021862132,0.0010622687,-0.00308391,-0.0045651887,0.0018136307,-0.0037485028,-0.0019411766,-0.0033392229,-0.0037123954,-0.0034753443,0.0015041486,0.00017499685,0.0005503972,-0.0015033721,0.0003069523,-0.0040349937,0.003016167,0.0025066463,0.0011791042,-0.0066063823,0.004013497,-0.0012474186,0.0006583625,0.0036967176,-0.0006663916,0.0006574113,-0.0011513124,0.001461327,-0.0002347332,-0.00089808943,-4.258151e-05,0.00013257106,-0.0051814485,-0.0005881764,0.00571897,0.0004129502,0.0015346132,0.0001623037,0.0035039631,0.0056601902,0.00395951,0.002875752,-0.0005002589,0.0025946542,0.0020913621,0.0039477176,-0.0003761667,8.256975e-05,-0.0016669872,0.0014885288,0.0005110239
REQ-07,P1,FR,-0.8484391579862354,-2.1966328537650575,-1.3937965125280667,-0.8400996077422255,1.0,32,finance garasibmw workshop branch,0.0028991005,0.0003228217,-0.0061968104,-0.00010748155,-0.0014421671,0.0023679845,-0.0007854348,0.0058312467,-0.0036204692,-0.0027974735,-0.002941827,-0.003014529,0.00083989557,0.0020537453,-0.0004755326,-0.00033852225,-7.086387e-05,0.0007021856,0.003139258,0.0025404538,-0.0037229587,5.1743584e-05,0.0027481746,0.0039793234,-0.003890186,-0.0010401186,-0.0027643829,-0.0029033402,-0.006248695,0.0013306602,0.0009425754,-0.0023659174,0.0009821155,-0.0031164135,0.004444604,6.306195e-05,0.0047323494,0.0034752667,0.0044672685,-0.0023074169,0.0022518353,0.0016947065,-0.0012035302,-0.00095246965,0.0005257791,-0.0022064836,-0.00028975355,-0.0014080321,0.0009245798,-0.00021861156,0.0041446127,0.006586677,-0.005784536,0.0017537625,0.002232816,0.002722235,0.00060792454,-0.0038656758,-0.002270992,0.0007443493,-0.00070073054,0.0022343574,0.004697379,0.004734694,0.005456776,-0.0006499996,-0.004136024,-0.00022306587,0.001933681,-0.0013286859,0.006072566,-0.004150631,-0.0023187243,-0.0010203026,-0.0016550894,-0.0018458114,-0.0011501518,0.0044725933,-0.00035349303,-3.95542e-05,-0.0011963913,0.0025652885,-0.0034451,0.0038972925,-0.0046267277,-0.0020974677,0.0024785055,0.002138051,-0.0031320234,-0.00029488275,-0.0008819583,0.002764808,0.0008864807,0.0071962737,-0.0007066983,-0.0014879217,-0.0005006211,-0.0016155518,0.0019579027,0.0002381017
REQ-08,P1,FR,0.4445969386827438,-1.0153926904923225,-0.5500237755422986,1.7317842791177456,1.3,18,save edit delete customer identity vehicle perform service,-0.0035901477,0.003256252,0.0004810841,-0.00011300063,-0.0007659883,-0.006233628,-1.3635727e-06,0.0056220787,0.0009313718,-0.0013746754,0.0038727964,-0.00048529074,0.00035877922,0.0019475054,0.0010513808,-0.0007001297,0.0004966137,-0.0028639454,0.000920497,-0.0054060905,0.00045186427,0.0029255,-0.0015335375,0.0012742599,-0.0024271207,0.00024149846,-0.0027227616,-0.0053912452,0.0009726767,0.0040186713,-0.00016381941,-0.002678325,0.0029545394,0.0008520534,-0.0017301186,0.0007454788,0.0015305437,-0.0037073246,-0.0011695703,-0.0059326105,-0.00038128236,-0.00381373,-0.00041944924,0.0029069942,0.0013902051,-0.0013957132,-0.0019117035,-0.0027844529,-0.00068451685,0.0040072864,0.0009969346,-2.1895685e-05,0.00053526787,-0.00044067332,-0.003847247,0.00036118546,0.0005034174,0.00017944415,-0.0048375814,0.0015199706,0.003404161,0.0031619153,-0.002188513,-0.0026063398,-0.002684177,-0.0019830782,0.0045259804,0.004315301,-0.00393253,0.003915776,-0.0017036427,0.0017999443,0.0026614706,7.3813775e-05,4.5066117e-05,0.0007366525,-0.0015908206,-0.0015537965,-0.002587492,0.0039245533,0.0006729481,-4.7446636e-05,-0.0025487654,0.00679429,-0.0011704562,-0.0014542779,-0.0021724666,0.003610297,0.0009127923,0.0008285444,0.004095541,4.1152292e-05,0.0029213377,0.00536693,0.007069871,0.003062407,0.0028398808,-0.00184988,-0.00030054498,-0.0016436931
REQ-09,P1,FR,1.7376330353517229,0.1658474727804126,-0.5500237755422986,1.7317842791177456,2.0,3,update vehicle service status spare part connect electronic receipt,0.0005364533,-0.0026201766,0.0009768815,0.0011991763,-0.0047064084,-0.0038068949,0.0010836015,0.008360396,-0.0007518229,-0.004662992,0.0033387875,0.0010548169,-0.0010386141,0.0041796146,0.00051533827,-0.0007732988,0.00022045005,-0.006419191,0.0014639362,-0.0003326183,-0.0012951478,0.0028889156,0.0034762712,-0.0012225551,0.0014922116,-0.0006633509,-0.0014868353,-0.0022025052,-0.0033838563,0.004474617,0.0037333134,-0.0040902705,0.0027327389,-0.00322128,0.002684464,-0.000296867,-0.0031337822,-0.006782108,-0.0018771653,-0.008239396,-0.00042787276,-0.0050787344,-0.002824718,-0.00034895272,0.0053185225,-0.0038270736,-0.0007394799,-0.00016841965,-0.00018787237,0.0030834598,0.0018130091,0.0020073126,-0.0029606814,-0.000598075,0.0013196045,0.00010021573,-0.0037477724,-0.0015083649,-0.007173482,7.893078e-05,-0.000500481,0.0024891435,-0.0002456741,-0.0005803772,-0.004696419,-0.00041902132,0.0027800212,0.00215733,-0.00468203,0.003347992,-0.0006144569,-0.001874018,0.002930754,0.0014878614,0.0021013068,-0.0004998375,0.0006133619,0.00011892943,-0.0018534503,0.001335933,0.0004464197,-0.003592833,-0.0029162115,0.007821967,0.0008777707,0.001278303,-0.0011062782,0.0043848725,0.0031293775,0.0035391944,0.0025258826,-0.00016736047,-0.00019172256,-0.0018609179,-0.00026086136,0.0026925292,-0.0010424833,-7.947762e-05,0.004162882,-0.0019908678
REQ-10,P1,FR,1.7376330353517229,1.3470876360531476,0.29374896144346946,1.7317842791177456,2.1,1,calculate total service spare part cost create draft preview electronic receipt divide receipt cod different branch,-0.0020791593,0.0011600349,0.0017519774,-0.00039537047,-0.003532205,-0.0011141394,0.0020142202,0.00640936,-0.0020924718,-0.0002722022,0.0004716675,-0.0012258636,0.0025409907,0.0012038995,0.00074933446,-0.002061963,0.000983737,-0.0030923528,0.00030421765,-0.0005930095,-0.001311973,0.0027760356,0.0012198463,-0.00092092564,-0.0007076963,-0.00024714536,-0.0010937118,-0.004011819,-0.0014429044,0.00049494096,0.0025083444,-0.0009802062,0.002481751,-0.0015472473,-0.0014783179,0.001335562,-0.0020355515,-0.0033722483,-0.00082336704,-0.008846589,-0.0015203825,-0.004229784,-0.0001933116,0.0016858364,0.0029014212,-0.0027058914,0.00084188266,0.0016332779,-0.0014255306,8.148365e-05,0.00046160838,0.0020854955,-0.0010455397,-0.0006614763,0.0020520873,0.0005581002,-0.001035623,-0.0011702492,-0.0029699756,-0.0006616737,-0.0005399653,-0.00012378208,-0.0015939664,-2.7999107e-05,-0.001623647,-0.0008953712,-0.00018283882,0.0028021277,-0.002212018,0.0012503001,-0.0016706196,-0.00093014684,-0.00056084833,-0.0013384928,0.0039800247,0.00036329147,0.0012654325,0.0018842578,-0.0016296653,0.00030833634,0.00012710094,-0.0015814321,-0.0010260807,0.004923291,-0.0012188005,0.002872183,0.000522463,0.0025193826,0.0018798973,-2.7170041e-05,-0.0003481246,0.0017757111,-0.0012521434,-0.0013275136,0.0019777168,0.0021730545,-0.0019413214,2.4265217e-05,0.0027923677,-0.00012955768
