project_id,rank,type_encoded,value,effort,risk,stakeholder_priority,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,w2v_25,w2v_26,w2v_27,w2v_28,w2v_29,w2v_30,w2v_31,w2v_32,w2v_33,w2v_34,w2v_35,w2v_36,w2v_37,w2v_38,w2v_39,w2v_40,w2v_41,w2v_42,w2v_43,w2v_44,w2v_45,w2v_46,w2v_47,w2v_48,w2v_49,w2v_50,w2v_51,w2v_52,w2v_53,w2v_54,w2v_55,w2v_56,w2v_57,w2v_58,w2v_59,w2v_60,w2v_61,w2v_62,w2v_63,w2v_64,w2v_65,w2v_66,w2v_67,w2v_68,w2v_69,w2v_70,w2v_71,w2v_72,w2v_73,w2v_74,w2v_75,w2v_76,w2v_77,w2v_78,w2v_79,w2v_80,w2v_81,w2v_82,w2v_83,w2v_84,w2v_85,w2v_86,w2v_87,w2v_88,w2v_89,w2v_90,w2v_91,w2v_92,w2v_93,w2v_94,w2v_95,w2v_96,w2v_97,w2v_98,w2v_99
P1,18,1,-1.0847940550472446,-1.0235106036247805,-1.5303922132634133,-1.0779383995767713,0.0023153685,-6.5172644e-05,0.0022845105,0.0024696754,-0.0043962034,-0.0061303424,0.0034258876,0.006534057,-0.0071601477,-0.0025655695,0.0018902788,-0.008238064,0.00188708,0.0020720763,-0.0038548734,-0.0017067585,0.0031174743,-0.007260465,0.002593942,-0.00033636577,0.0034111221,0.0013138469,-0.00050722295,0.0001757142,-0.0022741607,0.0016177322,0.0008879462,-0.0068412833,-0.0018326937,-0.0041375523,0.005010654,0.00068478,0.0006261135,-0.0036492827,0.0006580787,0.006017548,0.0053649913,-0.0057003526,0.0005281635,-0.012266581,-3.0857744e-05,-0.0039403583,-0.0035097026,-0.00022367638,0.0008878005,-0.0012262999,-0.003989452,-0.00037658692,0.00017429492,-0.0008287724,0.0026228104,-0.004227981,6.03043e-06,0.0014682055,-0.0053545795,0.0038118784,0.0015065167,-0.00017647428,-0.0035236932,0.00083366584,-6.6679626e-05,-0.000891389,-0.002493589,-0.004874762,-0.006363776,0.0022548356,0.0015384138,-0.000447956,-0.0045855856,0.004641223,-0.008484577,0.000494443,0.0027663063,-0.0018589795,0.0045922096,0.002671486,-0.0046131797,0.0022700327,-0.0019839306,0.00484459,0.0003758942,0.0011996585,-0.0038141934,0.0017184146,9.110567e-05,-6.966485e-05,0.0038438435,0.010891232,0.009134053,0.0027224892,0.000549242,0.009155773,-0.0012102934,0.0017860425,0.0019248272,0.002317739,0.0047724126,-0.0044257194,0.008911347,-0.0018297944
P1,33,0,-1.0847940550472446,0.070150726765294,1.6404204116026129,-1.0779383995767713,-0.0010700693,0.0054983655,4.273465e-05,0.0025330188,-0.0011478077,-0.005669694,0.0043014954,0.008276559,-0.002962346,-0.00065384805,-0.002396967,-0.0077052168,-0.0012239477,-0.0010914558,-0.0014460202,-0.0054900306,0.0016542164,-0.0053466293,0.00047740477,-0.009427367,-0.0021778322,0.004827828,0.0047429088,-0.001341333,-0.004190499,0.0026882805,-0.007949957,-0.008172638,-0.006677511,-0.0006332447,0.004404028,0.0011630099,0.004197831,-0.004597048,-0.004794282,0.0042371186,-0.0058024214,-0.0076432033,-0.0031072407,-0.0110807875,0.0016568742,-0.0047013653,-0.0013548984,0.0031840045,0.0019569437,-0.0020059154,-0.0035119036,-0.0071159718,0.0034227069,0.0012590761,0.0045121764,-0.008403347,-0.00081533653,6.496261e-05,-0.0038050155,-0.0004494745,-3.252937e-05,-0.00037493132,-0.006343454,-0.0032609121,-0.0007555556,-0.00028697427,-0.00055097125,-0.0029619248,-0.012822059,0.0061491947,-0.001731232,0.0046601957,-0.006726273,0.006655047,-0.008420558,0.003859284,0.006375377,-0.005579176,0.006199367,0.0014900638,-0.004944991,-0.0024401501,-0.0043061124,0.0006546377,-0.0033781647,-0.0017946045,-0.0072557977,0.007542261,0.0006031639,-0.0021295974,0.004769036,0.0058246953,0.0040916274,0.00045261424,0.0046675955,0.0027970101,-0.0024998486,-0.00084783137,0.008013807,0.003601748,0.0084910365,-0.005536947,0.0048910156,-0.0036310486
P1,16,0,-1.0847940550472446,0.070150726765294,-0.7376890570469067,-1.0779383995767713,-0.001224005,0.0031257255,0.0012614167,0.0014946976,0.0008910559,-0.010003562,0.0071877763,0.008087617,-0.0035588613,-0.0017271959,0.00036128834,-0.008947573,-0.0053301337,0.003997454,-0.002612049,-0.008247775,0.0039579724,-0.0013720257,0.0015752479,-0.011722863,0.0026446276,0.001351734,0.004995486,-0.00040578478,-0.005557155,0.0043537337,-0.005549663,-0.007930364,-0.009328905,-0.0018114559,0.009031896,0.0028342598,0.0024395345,-0.0046037487,-0.0018576876,0.005736605,-0.0034143354,-0.007804792,-0.0031158335,-0.014023285,-0.0010735905,-0.0077504492,-0.007902314,-0.0009968207,0.0073014037,-0.0021081986,-0.004847485,-0.0056687747,0.004310217,0.005931103,0.0037640976,-0.0049226917,-0.0017830711,-0.0002823576,-0.0039450773,0.0029301208,-0.00030478346,-0.0007548092,-0.008880339,-0.00014449516,0.0037470136,-0.0007994901,2.2926271e-05,-0.0013504348,-0.013625993,0.006786807,-0.00019371502,0.0043595936,-0.0126378415,0.0060754684,-0.009129748,0.004846947,0.005536319,-0.003238416,0.005603727,0.0048787366,-0.004341983,0.00057661656,-0.004617424,0.0034403915,-0.0027560845,-0.0066308803,-0.0058000204,0.0065890723,-0.0010440684,-0.0023541937,0.0015420513,0.008106471,0.0066885278,0.00021737632,0.0068527944,0.00084574794,-0.0013809992,0.00078445376,0.009502605,0.002293939,0.009075549,-0.006607098,0.0014743389,0.00033150564
P1,25,0,0.08221855394588845,0.070150726765294,1.6404204116026129,-1.0779383995767713,-0.0026345102,0.005354267,0.00048397048,0.0010972867,-0.002856479,-0.009849485,0.006303684,0.009102559,-0.002822154,-0.0010448678,-0.003032405,-0.0069255666,-0.0024107702,0.0023692143,-0.0008724869,-0.0068868804,0.001555376,-0.005443974,-0.0025157954,-0.0105203455,0.0007527807,0.0042560776,0.004982175,-0.0015759151,-0.0034782672,0.0026968832,-0.0076149916,-0.0048026796,-0.0064920904,-0.00019561526,0.0085407095,0.0023055505,0.003853659,-0.005244448,-0.001654287,0.0076612243,-0.0033822465,-0.0040052733,-0.004033667,-0.010329837,-0.00032705234,-0.0075306455,-0.0053529427,-4.546903e-05,0.005064296,-0.0025771796,-0.0020177686,-0.0051929634,0.0031480528,0.003766392,0.006628261,-0.007771522,-0.000977572,0.00030275033,-0.00662023,0.00037079805,0.00056621205,-0.001120982,-0.007519458,-0.0011086699,0.000524773,-0.00061059196,-0.001250926,-0.0032189009,-0.009169028,0.0040314007,0.000995079,0.004159346,-0.0107456,0.007620787,-0.008047347,0.0021628886,0.006832766,-0.0049905647,0.006900617,0.0031327428,-0.005033648,-0.00076146645,-0.0037442138,0.0020652483,-0.0027801686,-0.004029786,-0.0064525898,0.0054894863,8.8892695e-05,-0.0036651911,0.0032971113,0.005715752,0.0074944696,0.003569613,0.008460712,0.0042236815,0.00027868338,-0.0013438946,0.0069963676,0.002305699,0.012100751,-0.0055201664,0.004645949,-0.0028450952
P1,33,0,-1.0847940550472446,0.070150726765294,1.6404204116026129,-1.0779383995767713,-0.0018101007,0.0017220536,0.0049886806,0.002897454,-0.00041488634,-0.009160117,0.007885722,0.010468968,-0.0050682826,-0.0013301629,-0.0010206213,-0.007456999,-0.0036305755,0.0026657642,0.0008229109,-0.005430924,0.0027602024,-0.004337466,-0.001731225,-0.014497961,0.0028617117,0.005090952,0.0054042693,0.0033989486,0.0012711713,-0.0029498807,-0.005089758,-0.008364637,-0.009402867,-0.0039539305,0.004733979,0.0018776671,0.005389656,-0.0051481426,-0.0056382916,0.009205698,-0.004070868,-0.009977537,-0.0035128933,-0.011449853,-0.0023579348,-0.0074442076,-0.0015138676,-0.000478492,0.0028521323,-0.0005079182,-0.0067099314,-0.002732939,0.0026298217,0.009457288,-0.00030002926,-0.004698,-0.00078356307,-0.0013738703,-0.0012974401,0.0004224595,0.0013279032,-0.0010383255,-0.008875163,0.0043796306,-0.0006116389,0.0021190664,-0.0052510346,-0.0038220459,-0.012073382,0.004530076,0.0036462126,0.004138237,-0.010820757,0.008776594,-0.00290307,0.0057328907,0.0037391898,-0.010025356,0.009290507,0.00428022,0.00130637,-0.0019355809,-0.0023421044,0.0008859609,-0.003125246,-0.00025207724,-0.0063741864,0.007181064,-0.0038803609,0.00089325407,0.0027086572,0.010711444,0.009363168,0.0015953934,0.004341089,0.002660391,0.00051949796,0.005106989,0.0075709447,0.007987593,0.0038631272,-0.007976657,0.0045682187,-0.0045224996
P1,33,0,-1.0847940550472446,0.070150726765294,1.6404204116026129,-1.0779383995767713,0.0009053056,0.003650669,-0.00056830543,0.0016033836,-0.0018974826,-0.00607549,-0.00053861405,0.0059606065,0.0014146589,0.00067128224,-0.0014197016,-0.003662781,0.00037789243,0.0032036833,-0.0024574592,-0.00055559323,0.0010034728,-0.00094459514,0.0032154284,-0.0075666304,0.0003566897,0.0008824098,0.003909245,-0.004643816,-0.0016351622,0.0027747408,-0.0016278428,-0.004213443,-0.004340193,-0.0022342403,0.004681576,-0.003003035,-0.0022513056,-0.00086927693,-0.0020543884,0.004367678,-0.002576504,-0.0015868858,0.0018234312,-0.0062219272,-0.0012828523,-0.002070442,-0.0011975752,-0.0017329077,0.0027116016,0.00010189507,-0.004988001,-0.0010552891,0.0014762516,0.000489842,0.0032790236,-0.0029157756,-0.00023482245,-0.001519917,0.0019414424,0.001953833,-0.00024555562,-0.0012692253,-0.0041887374,-0.0012827694,-0.0011234122,0.00058169186,-0.0015910821,-0.0009099043,-0.0057677277,0.0022725733,7.339249e-05,0.0033398175,-0.0022868386,0.0016665972,-0.006921405,0.0008521103,0.0018989391,-0.0013610044,0.003372675,-8.9591835e-05,-0.0011502169,0.00093278196,-0.0006296278,0.0035156172,-0.0008070679,-0.0011962971,-0.001232657,0.0054526757,-0.00020470443,-0.0022221268,0.001293687,0.0003804512,0.007078108,0.0020750293,-0.0004452233,0.0019255573,0.0008597553,0.0025844201,0.0043558255,0.0023613474,0.0058878716,-0.0029634451,-0.0007806821,0.00048846006
P1,25,0,0.08221855394588845,0.070150726765294,1.6404204116026129,-1.0779383995767713,-0.0035461485,0.009832252,0.0026654312,0.0006511817,8.454174e-05,-0.00980183,0.005838528,0.012326454,-0.00120631,-0.0067667584,-0.0015882297,-0.008871761,-0.0030140353,-0.0035178831,-0.00039730268,-0.0082705235,0.0025717553,-0.0073184115,-0.002727837,-0.008297362,0.0017721063,0.00090504,0.0036054936,0.00044913436,-0.007961805,0.0040860754,-0.0029532497,-0.009524458,-0.0028763602,-0.00060039706,0.003792708,-0.000876895,-8.2658524e-05,-0.0045010033,-0.0009921246,0.0081492895,0.0012789025,-0.0059076287,-0.0028371233,-0.0034748763,0.0024223954,-0.003871575,-0.0013154488,-0.0013580119,0.0038360804,-0.0006729923,-0.0026207585,-0.0038236836,0.0033233247,0.0026660275,0.0070880554,-0.0062492094,0.0005572264,0.0023263586,-0.0059852297,0.00408282,0.0045636753,0.0038848724,-0.0095195575,-0.0023179273,0.0014532175,0.0001033172,0.0019460227,-0.005266433,-0.0070756623,0.0039629983,0.0045487885,0.0072624013,-0.0050658057,0.00045038355,-0.005996609,0.0016981357,0.0063636885,-0.0028984323,0.007811899,0.0036475118,-0.00249742,-0.003001557,-0.0030604468,0.0022914216,-0.002976936,0.0009346353,-0.0063675675,0.004300378,0.00089182303,-0.0013892213,0.0032341797,0.012355185,0.0084952675,-0.0008974454,0.0062941187,0.005247338,-0.0020421736,0.003933759,0.011773785,0.005560382,0.0057366975,-0.0066885664,0.0073792976,-0.0021455255
P1,25,0,0.08221855394588845,0.070150726765294,1.6404204116026129,-1.0779383995767713,-0.005886422,0.01277998,0.0027560322,3.600335e-05,0.0018592401,-0.012082494,0.005122502,0.012580191,0.0008289486,-0.006457824,0.00055530533,-0.0061859447,-5.0216255e-05,-0.001446575,0.0033730075,-0.0045293774,0.0037227224,-0.007482326,-0.0040939464,-0.006191592,0.0036306067,0.0029844402,0.0042479644,0.0030413528,-0.007886691,0.0059260265,-0.002374673,-0.007407712,-0.003859317,-0.0013668331,0.004299978,-0.0014137664,-0.0014736988,-0.0030556156,0.00080942694,0.0070955027,0.0026936408,-0.0055375076,-0.0048941295,-0.0016756464,0.0021899955,-0.0027670348,0.0014545672,-0.0003658183,0.003987491,0.002775062,-0.0021117933,-0.0051121074,0.00188693,0.0052613895,0.008486233,-0.0027695394,-0.00346281,-0.0015863265,-0.0042637005,0.0035374581,0.0032352023,0.0062045525,-0.006602106,7.302939e-05,0.00075426814,0.0021924556,-0.00020623812,-0.0032024079,-0.0072135217,0.0022470446,0.0054802685,0.008336765,-0.0042457986,0.0013402718,-0.0037347863,-0.002426178,0.00581204,-0.0020607065,0.0058913087,0.0037030012,-0.0026841632,-0.0013589467,-0.0037547424,0.0039772675,-0.00834567,0.0035278548,-0.0053788405,0.0037110972,0.0019440828,0.0021485435,0.0059179985,0.010631905,0.010353919,-0.0009481514,0.0018988624,0.003951074,-0.0016237478,0.004883067,0.009930569,0.0042025293,0.009673759,-0.0067862966,0.003376636,-0.0039599366
P1,33,0,-1.0847940550472446,0.070150726765294,1.6404204116026129,-1.0779383995767713,-0.0028042118,0.0043999283,-0.00018431213,6.0213995e-05,0.00018505147,-0.009692549,0.004463248,0.0088696405,-0.002668332,-0.0019536642,-0.002321925,-0.005491507,-8.6526656e-05,0.0017795515,-0.005378951,-0.0049094134,0.0021613475,-0.0039975983,0.0043577,-0.009763991,1.4610256e-05,0.0011309095,0.00321863,-0.0005828246,-0.0042047244,0.00096501916,-0.0047674864,-0.0052135116,-0.008541116,0.0019116122,0.0077383514,0.002191806,0.0012698233,-0.0045174123,-0.0010298623,0.0066662407,-0.0012790606,-0.0067864815,-0.00044875898,-0.009956619,-0.0024428938,-0.0020408123,-0.0032619487,-0.0035850832,0.006202393,-0.0025419723,-0.0038914706,-0.0036069413,0.0029988477,0.0040511335,0.0072110007,-0.007391936,-0.000563561,-0.0041021844,-0.003356211,-0.0010888822,0.00039636338,-0.00031099856,-0.0073365406,0.00085174665,0.0016851505,-0.00014909168,0.0006397624,-0.00080111047,-0.01038845,0.0043176697,0.00048330714,0.005286625,-0.007625602,0.0066941776,-0.009208231,0.002618838,0.0024213823,-0.0006860244,0.005386881,0.0029639916,-0.0033593576,0.003062163,-0.002238056,-0.0014794336,-0.003445293,-0.0030595432,-0.0058235503,0.0064484603,0.00051326345,-0.001244167,0.0035769327,0.0052047013,0.0066219233,0.00013810031,0.0037444208,0.0008723019,-0.0014854518,0.0033669886,0.008269998,0.0036440983,0.0074393125,-0.005895899,0.0022569261,-0.0036795277
P1,33,0,-1.0847940550472446,0.070150726765294,1.6404204116026129,-1.0779383995767713,-0.0076283426,0.00992253,-0.0003625735,0.002578447,0.00051876024,-0.0026985127,-0.0034721477,0.00498209,-0.0047265347,0.00032348753,0.0018198095,-0.0049398523,-0.0015001522,0.0019656473,0.00071420986,-6.9737434e-06,-0.0008479163,-0.005997032,-0.0017689687,-0.0025778164,-0.001248366,0.004107822,0.0009137843,-0.00072833896,0.000998375,0.0007063157,-0.00029629996,0.0024461432,0.00073012244,-0.00092330924,0.003327881,-0.0015649674,0.0037156083,0.0034429084,-0.006727062,0.006091771,0.007621747,-0.004866555,-0.0005538703,-0.000848132,0.0072726025,-0.00874191,-0.005193486,0.0043945946,0.0022120047,-0.0011593438,0.0018190403,-0.0013161682,0.0002597843,0.0009566481,0.00019779599,-0.0021568898,0.009339877,0.0001512682,0.0006389602,0.0052868915,0.0053207795,-0.0017534991,0.0040293075,0.001313073,0.000974911,0.0029684277,-0.00064430543,0.0007981877,0.0009687878,-0.0036028756,0.0012136726,0.0041893055,0.00055008807,0.004874265,-0.0075732036,0.0018844865,0.0026392273,-0.005838781,0.0010459651,-3.8373906e-05,-0.00045832255,0.000113945374,0.0020427478,0.0019609255,-0.0030937977,-0.0025000323,-0.0073608304,0.008122764,0.0017827497,0.003303164,-0.008783241,-0.0008729338,0.005722174,0.00636754,0.0008436204,0.0063525923,-0.004370412,-0.002540859,0.0062885056,0.0013187727,0.00030647218,0.0018428797,0.0038716,0.0013493461
